bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
ретроградный	ретрогра'дный	retrograde	retrograd, rückwärts gewand, rückläufig			ретрогра'ден	ретрогра'дна	ретрогра'дно	ретрогра'дны	ретрогра'дный	ретрогра'дного	ретрогра'дному	ретрогра'дный,ретрогра'дного	ретрогра'дным	ретрогра'дном	ретрогра'дная	ретрогра'дной	ретрогра'дной	ретрогра'дную	ретрогра'дной, ретрогра'дною	ретрогра'дной	ретрогра'дное	ретрогра'дного	ретрогра'дному	ретрогра'дное	ретрогра'дным	ретрогра'дном	ретрогра'дные	ретрогра'дных	ретрогра'дным	ретрогра'дные,ретрогра'дных	ретрогра'дными	ретрогра'дных
ретроспективный	ретроспекти'вный	retrospective	retrospektiv, rückblickend, rückschauend			ретроспекти'вен	ретроспекти'вна	ретроспекти'вно	ретроспекти'вны	ретроспекти'вный	ретроспекти'вного	ретроспекти'вному	ретроспекти'вный,ретроспекти'вного	ретроспекти'вным	ретроспекти'вном	ретроспекти'вная	ретроспекти'вной	ретроспекти'вной	ретроспекти'вную	ретроспекти'вной, ретроспекти'вною	ретроспекти'вной	ретроспекти'вное	ретроспекти'вного	ретроспекти'вному	ретроспекти'вное	ретроспекти'вным	ретроспекти'вном	ретроспекти'вные	ретроспекти'вных	ретроспекти'вным	ретроспекти'вные,ретроспекти'вных	ретроспекти'вными	ретроспекти'вных
реферативный	реферати'вный	abstract	referierend, Referats-							реферати'вный	реферати'вного	реферати'вному	реферати'вный	реферати'вным	реферати'вном	реферати'вная	реферати'вной	реферати'вной	реферати'вную	реферати'вной	реферати'вной	реферати'вное	реферати'вного	реферати'вному	реферати'вное	реферати'вным	реферати'вном	реферати'вные	реферати'вных	реферати'вным	реферати'вные	реферати'вными	реферати'вных
рефлексологический	рефлексологи'ческий	reflexological	reflexologisch																														
реформаторский	реформа'торский	reformatory, reformative	Reform-, Reformator-, Reformierer-, Reformations-, reformistisch																														
реформистский	реформи'стский	reformist	reformistisch																														
рецептивный	рецепти'вный	receptive	rezeptiv			рецепти'вен	рецепти'вна	рецепти'вно	рецепти'вны	рецепти'вный	рецепти'вного	рецепти'вному	рецепти'вный,рецепти'вного	рецепти'вным	рецепти'вном	рецепти'вная	рецепти'вной	рецепти'вной	рецепти'вную	рецепти'вной, рецепти'вною	рецепти'вной	рецепти'вное	рецепти'вного	рецепти'вному	рецепти'вное	рецепти'вным	рецепти'вном	рецепти'вные	рецепти'вных	рецепти'вным	рецепти'вные,рецепти'вных	рецепти'вными	рецепти'вных
речистый	речи'стый	voluble, talkative	redegewandt, eloquent, wortreich, gesprächig, geschwätzig			речи'ст	речи'ста	речи'сто	речи'сты	речи'стый	речи'стого	речи'стому	речи'стый,речи'стого	речи'стым	речи'стом	речи'стая	речи'стой	речи'стой	речи'стую	речи'стой,(речи'стою)	речи'стой	речи'стое	речи'стого	речи'стому	речи'стое	речи'стым	речи'стом	речи'стые	речи'стых	речи'стым	речи'стые,речи'стых	речи'стыми	речи'стых
ригористический	ригористи'ческий	rigoristic	rigoros			*ригористи'ческ	*ригористи'ческа	*ригористи'ческо	ригористи'чески	ригористи'ческий	ригористи'ческого	ригористи'ческому	ригористи'ческий,ригористи'ческого	ригористи'ческим	ригористи'ческом	ригористи'ческая	ригористи'ческой	ригористи'ческой	ригористи'ческую	ригористи'ческой, ригористи'ческою	ригористи'ческой	ригористи'ческое	ригористи'ческого	ригористи'ческому	ригористи'ческое	ригористи'ческим	ригористи'ческом	ригористи'ческие	ригористи'ческих	ригористи'ческим	ригористи'ческие,ригористи'ческих	ригористи'ческими	ригористи'ческих
рисовальный	рисова'льный	drawing	Zeichen-, Mal-			рисова'лен	рисова'льна	рисова'льно	рисова'льны	рисова'льный	рисова'льного	рисова'льному	рисова'льный,рисова'льного	рисова'льным	рисова'льном	рисова'льная	рисова'льной	рисова'льной	рисова'льную	рисова'льной, рисова'льною	рисова'льной	рисова'льное	рисова'льного	рисова'льному	рисова'льное	рисова'льным	рисова'льном	рисова'льные	рисова'льных	рисова'льным	рисова'льные,рисова'льных	рисова'льными	рисова'льных
рисоводческий	рисово'дческий	rice-growing	auf den Reisanbau bezogen			*рисово'дческ	*рисово'дческа	*рисово'дческо	рисово'дчески	рисово'дческий	рисово'дческого	рисово'дческому	рисово'дческий,рисово'дческого	рисово'дческим	рисово'дческом	рисово'дческая	рисово'дческой	рисово'дческой	рисово'дческую	рисово'дческой, рисово'дческою	рисово'дческой	рисово'дческое	рисово'дческого	рисово'дческому	рисово'дческое	рисово'дческим	рисово'дческом	рисово'дческие	рисово'дческих	рисово'дческим	рисово'дческие,рисово'дческих	рисово'дческими	рисово'дческих
рифлёный	рифлёный	grooved, corrugated	geriffelt							рифлёный	рифлёного	рифлёному	рифлёный	рифлёным	рифлёном	рифлёная	рифлёной	рифлёной	рифлёную	рифлёной	рифлёной	рифлёное	рифлёного	рифлёному	рифлёное	рифлёным	рифлёном	рифлёные	рифлёных	рифлёным	рифлёные	рифлёными	рифлёных
рифмованный	рифмо'ванный	rhymed	gereimt, in Versform																														
рогастый	рога'стый	large-horned	mit schwerem Geweih			рога'ст	рога'ста	рога'сто	рога'сты	рога'стый	рога'стого	рога'стому	рога'стый,рога'стого	рога'стым	рога'стом	рога'стая	рога'стой	рога'стой	рога'стую	рога'стой, рога'стою	рога'стой	рога'стое	рога'стого	рога'стому	рога'стое	рога'стым	рога'стом	рога'стые	рога'стых	рога'стым	рога'стые,рога'стых	рога'стыми	рога'стых
роговидный	рогови'дный	horn-shaped, corniculate, corneous	hornartig, hornähnlich, geweihartig			рогови'ден	рогови'дна	рогови'дно	рогови'дны	рогови'дный	рогови'дного	рогови'дному	рогови'дный,рогови'дного	рогови'дным	рогови'дном	рогови'дная	рогови'дной	рогови'дной	рогови'дную	рогови'дной, рогови'дною	рогови'дной	рогови'дное	рогови'дного	рогови'дному	рогови'дное	рогови'дным	рогови'дном	рогови'дные	рогови'дных	рогови'дным	рогови'дные,рогови'дных	рогови'дными	рогови'дных
родовитый	родови'тый	well-born, high-born	altadelig, aristokratisch			родови'т	родови'та	родови'то	родови'ты	родови'тый	родови'того	родови'тому	родови'тый,родови'того	родови'тым	родови'том	родови'тая	родови'той	родови'той	родови'тую	родови'той, родови'тою	родови'той	родови'тое	родови'того	родови'тому	родови'тое	родови'тым	родови'том	родови'тые	родови'тых	родови'тым	родови'тые,родови'тых	родови'тыми	родови'тых
рожистый	ро'жистый	erysipelatous	Rotlauf-, Erysibel-			ро'жист	ро'жиста	ро'жисто	ро'жисты	ро'жистый	ро'жистого	ро'жистому	ро'жистый,ро'жистого	ро'жистым	ро'жистом	ро'жистая	ро'жистой	ро'жистой	ро'жистую	ро'жистой, ро'жистою	ро'жистой	ро'жистое	ро'жистого	ро'жистому	ро'жистое	ро'жистым	ро'жистом	ро'жистые	ро'жистых	ро'жистым	ро'жистые,ро'жистых	ро'жистыми	ро'жистых
розоцветный	розоцве'тный	Rosaceae	rosa, rosafarben, pink			розоцве'тен	розоцве'тна	розоцве'тно	розоцве'тны	розоцве'тный	розоцве'тного	розоцве'тному	розоцве'тный,розоцве'тного	розоцве'тным	розоцве'тном	розоцве'тная	розоцве'тной	розоцве'тной	розоцве'тную	розоцве'тной, розоцве'тною	розоцве'тной	розоцве'тное	розоцве'тного	розоцве'тному	розоцве'тное	розоцве'тным	розоцве'тном	розоцве'тные	розоцве'тных	розоцве'тным	розоцве'тные,розоцве'тных	розоцве'тными	розоцве'тных
романический	романи'ческий	romantic	Roman-, romanhaft			*романи'ческ	*романи'ческа	*романи'ческо	романи'чески	романи'ческий	романи'ческого	романи'ческому	романи'ческий,романи'ческого	романи'ческим	романи'ческом	романи'ческая	романи'ческой	романи'ческой	романи'ческую	романи'ческой, романи'ческою	романи'ческой	романи'ческое	романи'ческого	романи'ческому	романи'ческое	романи'ческим	романи'ческом	романи'ческие	романи'ческих	романи'ческим	романи'ческие,романи'ческих	романи'ческими	романи'ческих
романский	рома'нский	Romance, Romanic	romanisch							рома'нский	рома'нского	рома'нскому	рома'нский,рома'нского	рома'нским	рома'нском	рома'нская	рома'нской	рома'нской	рома'нскую	рома'нской,(рома'нскою)	рома'нской	рома'нское	рома'нского	рома'нскому	рома'нское	рома'нским	рома'нском	рома'нские	рома'нских	рома'нским	рома'нские,рома'нских	рома'нскими	рома'нских
ромашковый	рома'шковый	camomile	Kamillen-			рома'шков	рома'шкова	рома'шково	рома'шковы	рома'шковый	рома'шкового	рома'шковому	рома'шковый,рома'шкового	рома'шковым	рома'шковом	рома'шковая	рома'шковой	рома'шковой	рома'шковую	рома'шковой, рома'шковою	рома'шковой	рома'шковое	рома'шкового	рома'шковому	рома'шковое	рома'шковым	рома'шковом	рома'шковые	рома'шковых	рома'шковым	рома'шковые,рома'шковых	рома'шковыми	рома'шковых
ромбический	ромби'ческий	rhombic	rhombisch, rautenförmig			*ромби'ческ	*ромби'ческа	*ромби'ческо	ромби'чески	ромби'ческий	ромби'ческого	ромби'ческому	ромби'ческий,ромби'ческого	ромби'ческим	ромби'ческом	ромби'ческая	ромби'ческой	ромби'ческой	ромби'ческую	ромби'ческой, ромби'ческою	ромби'ческой	ромби'ческое	ромби'ческого	ромби'ческому	ромби'ческое	ромби'ческим	ромби'ческом	ромби'ческие	ромби'ческих	ромби'ческим	ромби'ческие,ромби'ческих	ромби'ческими	ромби'ческих
