bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
лекальщик	лека'льщик	gauger	Kurvenlinealhersteller, Kreisschablonenproduzent, Kurvendreieckverfertiger, Schablonenmacher	m		1	0	0	0	лека'льщик	лека'льщика	лека'льщику	лека'льщика	лека'льщиком	лека'льщике	лека'льщики	лека'льщиков	лека'льщикам	лека'льщиков	лека'льщиками	лека'льщиках
лексикограф	лексико'граф	lexicographer	└ Lexikograph/Lexikograf┘, Wortschatzspezialist, Wörterbuchspezialist	m		1	0	0	0	лексико'граф	лексико'графа	лексико'графу	лексико'графа	лексико'графом	лексико'графе	лексико'графы	лексико'графов	лексико'графам	лексико'графов	лексико'графами	лексико'графах
лексикография	лексикогра'фия	lexicography	└ Lexikographie/Lexikografie┘	f		0	0	1	0	лексикогра'фия	лексикогра'фии	лексикогра'фии	лексикогра'фию	лексикогра'фией, лексикогра'фиею	лексикогра'фии						
лексиколог	лексико'лог	lexicologist	Lexikologe	m		1	0	0	0	лексико'лог	лексико'лога	лексико'логу	лексико'лога	лексико'логом	лексико'логе	лексико'логи	лексико'логов	лексико'логам	лексико'логов	лексико'логами	лексико'логах
лексикология	лексиколо'гия	lexicology	Lexikologie	f		0	0	1	0	лексиколо'гия	лексиколо'гии	лексиколо'гии	лексиколо'гию	лексиколо'гией, лексиколо'гиею	лексиколо'гии						
лекторий	лекто'рий	centre organizing public lectures, lecture-hall	Kursleitung, Lektorat, Schule, Lehrgang; Vortragsprogramm; Vortragsraum	m		0	0	0	0	лекто'рий	лекто'рия	лекто'рию	лекто'рий	лекто'рием	лекто'рии	лекто'рии	лекто'риев	лекто'риям	лекто'рии	лекто'риями	лекто'риях
лектура	лекту'ра	lectureship	Lektorat, Lektoramt, Lektorenstelle	f		0	0	0	0	лекту'ра	лекту'ры	лекту'ре	лекту'ру	лекту'рой, лекту'рою	лекту'ре	лекту'ры	лекту'р	лекту'рам	лекту'ры	лекту'рами	лекту'рах
лемех	ле'мех	ploughshare	Pflugschar, Schar	m		0	0	0	0	ле'мех	ле'меха	ле'меху	ле'мех	ле'мехом	ле'мехе	лемеха'	лемехо'в	лемеха'м	лемеха'	лемеха'ми	лемеха'х
лемма	ле'мма	lemma	Lemma (als Hilfssatz einer mathematischen Beweisführung)	f		0	0	0	0	ле'мма	ле'ммы	ле'мме	ле'мму	ле'ммой, ле'ммою	ле'мме	ле'ммы	ле'мм	ле'ммам	ле'ммы	ле'ммами	ле'ммах
лемминг	ле'мминг	lemming	Bürohengst	m		1	0	0	0	ле'мминг	ле'мминга	ле'ммингу	ле'мминга	ле'ммингом	ле'мминге	ле'мминги	ле'ммингов	ле'ммингам	ле'ммингов	ле'ммингами	ле'ммингах
лемур	лему'р	lemur	Lemur/Lemure	m		1	0	0	0	лему'р	лему'ра	лему'ру	лему'ра	лему'ром	лему'ре	лему'ры	лему'ров	лему'рам	лему'ров	лему'рами	лему'рах
ленивец	лени'вец	sloth, idler, idling sprocket	Faultier, Dreifinger-Faultier, Ai	m		1	0	0	0	лени'вец	лени'вца	лени'вцу	лени'вца	лени'вцем	лени'вце	лени'вцы	лени'вцев	лени'вцам	лени'вцев	лени'вцами	лени'вцах
ленник	ле'нник	vassal	Lehnsmann, Vasall, Gefolgsmann	m		1	0	0	0	ле'нник	ле'нника	ле'ннику	ле'нника	ле'нником	ле'ннике	ле'нники	ле'нников	ле'нникам	ле'нников	ле'нниками	ле'нниках
лентяйка	лентя'йка	lazy person, idler, loafer, lazy-bones	Faulpelz (von einem Mädchen / einer Frau), faule Guste	f		1	0	0	0	лентя'йка	лентя'йки	лентя'йке	лентя'йку	лентя'йкой, лентя'йкою	лентя'йке	лентя'йки	лентя'ек	лентя'йкам	лентя'ек	лентя'йками	лентя'йках
ленчик	ле'нчик	saddle-tree	hölzernes Sattelgestell (des Kavalleriesattels)	m		0	0	0	0	ле'нчик	ле'нчика	ле'нчику	ле'нчик	ле'нчиком	ле'нчике	ле'нчики	ле'нчиков	ле'нчикам	ле'нчики	ле'нчиками	ле'нчиках
лепетание	лепета'ние	babbling	Lallen, Gelalle, Gestammle, Stammeln	n		0	0	0	0	лепета'ние	лепета'ния	лепета'нию	лепета'ние	лепета'нием	лепета'нии	лепета'ния	лепета'ний	лепета'ниям	лепета'ния	лепета'ниями	лепета'ниях
леса	леса'	scaffold, falsework, fishing-line	Angelschnur	f		0	0	0	0	леса'	лесы'	лесе'	лесу'	лесо'й,  лесо'ю	лесе'	лёсы	лёс	лёсам	лёсы	лёсами	лёсах
лесовод	лесово'д	forestry specialist, forester, silviculturist	Forstwirtin	m		1	0	0	0	лесово'д	лесово'да	лесово'ду	лесово'да	лесово'дом	лесово'де	лесово'ды	лесово'дов	лесово'дам	лесово'дов	лесово'дами	лесово'дах
лесоводство	лесово'дство	forestry, silviculture	Forstwissenschaft, Forstwirtschaft	n		0	0	0	0	лесово'дство	лесово'дства	лесово'дству	лесово'дство	лесово'дством	лесово'дстве	лесово'дства	лесово'дств	лесово'дствам	лесово'дства	лесово'дствами	лесово'дствах
лесозавод	лесозаво'д	timber mill	Sägewerk, Holzverarbeitungswerk	m		0	0	0	0	лесозаво'д	лесозаво'да	лесозаво'ду	лесозаво'д	лесозаво'дом	лесозаво'де	лесозаво'ды	лесозаво'дов	лесозаво'дам	лесозаво'ды	лесозаво'дами	лесозаво'дах
