bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
человек	челове'к	person, people; man	Mensch, Person; Mann; Diener, Diensbote, Lakei, Kellner	m		1	0	0	0	челове'к	челове'ка	челове'ку	челове'ка	челове'ком	челове'ке	лю'ди	люде'й	лю'дям	люде'й	людьми'	лю'дях
год	год	year	Jahr	m		0	0	0	0	го'д	го'да	го'ду	го'д	го'дом	году'	лета'	ле'т	лета'м	лета'	лета'ми	лета'х
время	вре'мя	time, times, tense	Zeit	n		0	0	0	0	вре'мя	вре'мени	вре'мени	вре'мя	вре'менем	вре'мени	времена'	времён	времена'м	времена'	времена'ми	времена'х
рука	рука'	hand; arm; handwriting	Hand; Arm	f		0	0	0	0	рука'	руки'	руке'	ру'ку	руко'й	руке'	ру'ки	ру'к	рука'м	ру'ки	рука'ми	рука'х
стать	стать	figure; character, type; points of a horse; need, necessity	Anlass, Grund; Sinn, Gebühr, geziemendes Verhalten	f		0	0	0	0	ста'ть	ста'ти	ста'ти	ста'ть	ста'тью	ста'ти	ста'ти	ста'тей	ста'тям	ста'ти	ста'тями	ста'тях
дело	де'ло	business; matter	Sache, Angelegenheit, Geschäft; Tat, Handlung, Arbeit; Fall, Akte, Verfahren	n		0	0	0	0	де'ло	де'ла	де'лу	де'ло	де'лом	де'ле	дела'	де'л	дела'м	дела'	дела'ми	дела'х
раз	раз	time; one; once	Mal, mal, eins, wenn, da	m		0	0	0	0	раз	ра'за, ра'зу	ра'зу	раз	ра'зом	ра'зе	разы'	раз	раза'м	разы'	раза'ми	раза'х
глаз	глаз	eye	Auge	m		0	0	0	0	гла'з	гла'за	гла'зу	гла'з	гла'зом	гла'зе	глаза'	гла'з	глаза'м	глаза'	глаза'ми	глаза'х
день	день	day, afternoon	Tag	m		0	0	0	0	день	дня	дню	день	днём	дне	дни	дне'й	дня'м	дни	дня'ми	днях
жизнь	жизнь	life, existence	Leben	f		0	0	0	0	жи'знь	жи'зни	жи'зни	жи'знь	жи'знью	жи'зни	жи'зни	жи'зней	жи'зням	жи'зни	жи'знями	жи'знях
тут	тут	mulberry fruit; mulberry tree	Maulbeerbaum	m		0	0	0	0	ту'т	ту'та	ту'ту	ту'т	ту'том	ту'те	ту'ты	ту'тов	ту'там	ту'ты	ту'тами	ту'тах
голова	голова'	head, mind, brains, chief, master	Kopf, Köpfchen (Gehirn, Gedanken, Verstand); Haupt, Oberhaupt	f		0	0	0	0	голова'	головы'	голове'	го'лову	голово'й	голове'	го'ловы	голо'в	голова'м	го'ловы	голова'ми	голова'х
друг	друг	friend	Freund	m		1	0	0	0	друг	дру'га	дру'гу	дру'га	дру'гом	дру'ге	друзья'	друзе'й	друзья'м	друзе'й	друзья'ми	друзья'х
дом	дом	house, home, house-hold	Haus, Gebäude, Zuhause, Heim	m		0	0	0	0	до'м	до'ма	до'му	до'м	до'мом	до'ме	дома'	домо'в	дома'м	дома'	дома'ми	дома'х
слово	сло'во	word; speech	Wort, Vokabel; Rede, Ansprache; Versprechen	n		0	0	0	0	сло'во	сло'ва	сло'ву	сло'во	сло'вом	сло'ве	слова'	сло'в	слова'м	слова'	слова'ми	слова'х
место	ме'сто	place, spot, site, locality; region, area; site, scene; room, space; job, position; piece of luggage	Platz, Ort, Stelle; Sitzplatz, Koje; Gepäckstück	n		0	0	0	0	ме'сто	ме'ста	ме'сту	ме'сто	ме'стом	ме'сте	места'	ме'ст	места'м	места'	места'ми	места'х
лицо	лицо'	face, the right side, person	Gesicht; Person; Profil, Image	n		0	0	0	0	лицо'	лица'	лицу'	лицо'	лицо'м	лице'	ли'ца	ли'ц	ли'цам	ли'ца	ли'цами	ли'цах
сторона	сторона'	side	Seite, Richtung, Aspekt; Partei	f		0	0	0	0	сторона'	стороны'	стороне'	сто'рону	стороно'й, стороно'ю	стороне'	сто'роны	сторо'н	сторона'м	сто'роны	сторона'ми	сторона'х
нога	нога'	leg	Fuß, Bein	f		0	0	0	0	нога'	ноги'	ноге'	но'гу	ного'й,     ного'ю	ноге'	но'ги	ног	нога'м	но'ги	нога'ми	нога'х
работа	рабо'та	work, working, job	Arbeit, Werk (eines Künstlers etc.)	f		0	0	0	0	рабо'та	рабо'ты	рабо'те	рабо'ту	рабо'той,  рабо'тою	рабо'те	рабо'ты	рабо'т	рабо'там	рабо'ты	рабо'тами	рабо'тах
дверь	дверь	door	Tür	f		0	0	0	0	дверь	две'ри	две'ри	дверь	две'рью	две'ри, двери'	две'ри	двере'й	дверя'м	две'ри	дверьми',  дверя'ми	дверя'х
конец	коне'ц	end, ending	Ende, Schluss	m		0	0	0	0	коне'ц	конца'	концу'	коне'ц	концо'м	конце'	концы'	концо'в	конца'м	концы'	конца'ми	конца'х
город	го'род	town	Stadt	m		0	0	0	0	го'род	го'рода	го'роду	го'род	го'родом	го'роде	города'	городо'в	города'м	города'	города'ми	города'х
голос	го'лос	voice, part, vote	Stimme	m		0	0	0	0	го'лос	го'лоса, го'лосу	го'лосу	го'лос	го'лосом	го'лосе	голоса'	голосо'в	голоса'м	голоса'	голоса'ми	голоса'х
час	час	hour, time, hours	Stunde; Uhr(zeit)	m		0	0	0	0	ча'с	ча'са,    часа'	ча'су	ча'с	ча'сом	часу', ча'се	часы'	часо'в	часа'м	часы'	часа'ми	часа'х
уж	уж	grass snake	Natter, Schlange	m		1	0	0	0	у'ж	ужа'	ужу'	ужа'	ужо'м	уже'	ужи'	уже'й	ужа'м	уже'й	ужа'ми	ужа'х
земля	земля'	earth, ground, the Earth, land, soil	Erde; Festland, Land, Boden; Bundesland	f		0	0	0	0	земля'	земли'	земле'	зе'млю	землёй, землёю	земле'	зе'мли	земе'ль	зе'млям	зе'мли	зе'млями	зе'млях
сила	си'ла	power	Kraft / Stärke; Macht / Gewalt	f		0	0	0	0	си'ла	си'лы	си'ле	си'лу	си'лой, си'лою	си'ле	си'лы	си'л	си'лам	си'лы	си'лами	си'лах
вода	вода'	water	Wasser	f		0	0	0	0	вода'	воды'	воде'	во'ду	водо'й,  водо'ю	воде'	во'ды	во'д	во'дам	во'ды	во'дами	во'дах
случай	слу'чай	case, occasion, chance, opportunity, event, incident, occurrence	Anlaß, Ereignis, Erlebnis, Gelegenheit; Vorfall, Fall, Zwischenfall; Zufall, Begebenheit	m		0	0	0	0	слу'чай	слу'чая	слу'чаю	слу'чай	слу'чаем	слу'чае	слу'чаи	слу'чаев	слу'чаям	слу'чаи	слу'чаями	слу'чаях
стол	стол	table, desk, board; diet, cooking, cuisine; department, section	Tisch, Tafel; Essen, Kost; Büro, Abteilung	m		0	0	0	0	сто'л	стола'	столу'	сто'л	столо'м	столе'	столы'	столо'в	стола'м	столы'	стола'ми	стола'х
машина	маши'на	car; machine, machinery, engine, mechanism	Auto; Maschine	f		0	0	0	0	маши'на	маши'ны	маши'не	маши'ну	маши'ной, маши'ною	маши'не	маши'ны	маши'н	маши'нам	маши'ны	маши'нами	маши'нах
мир	мир	world; peace	Welt, Erde; Frieden	m		0	0	0	0	мир	ми'ра	ми'ру	мир	ми'ром	ми'ре	миры'	миро'в	мира'м	миры'	мира'ми	мира'х
ночь	ночь	night	Nacht	f		0	0	0	0	но'чь	но'чи	но'чи	но'чь	но'чью	но'чи	но'чи	ноче'й	ноча'м	но'чи	ноча'ми	ноча'х
женщина	же'нщина	woman, women, womanfolk, womankind	Frau, Dame	f		1	0	0	0	же'нщина	же'нщины	же'нщине	же'нщину	же'нщиной, же'нщиною	же'нщине	же'нщины	же'нщин	же'нщинам	же'нщин	же'нщинами	же'нщинах
ребёнок	ребёнок	child, kid	Kind	m		1	0	0	0	ребёнок	ребёнка	ребёнку	ребёнка	ребёнком	ребёнке	де'ти	дете'й	де'тям	дете'й	детьми'	де'тях
вид	вид	appearance, look, aspect, semblance; sight, view, views	Sicht, Blick, Anschein, Anblick, Ansicht, Aussicht, Aussehen; Art, Aspekt, Beschaffenheit, Form	m		0	0	0	0	вид	ви'да, ви'ду	ви'ду	вид	ви'дом	ви'де	ви'ды	ви'дов	ви'дам	ви'ды	ви'дами	ви'дах
отец	оте'ц	father	Vater	m		1	0	0	0	оте'ц	отца'	отцу'	отца'	отцо'м	отце'	отцы'	отцо'в	отца'м	отцо'в	отца'ми	отца'х
вопрос	вопро'с	question, issue	Frage; Angelegenheit, Sache (Thema)	m		0	0	0	0	вопро'с	вопро'са	вопро'су	вопро'с	вопро'сом	вопро'се	вопро'сы	вопро'сов	вопро'сам	вопро'сы	вопро'сами	вопро'сах
ряд	ряд	row, line, tier; file, rank; series; a number of, several	Reihe, eine Reihe von, eine Anzahl von	m		0	0	0	0	ря'д	ря'да,  ряда'	ря'ду	ря'д	ря'дом	ряду'	ряды'	рядо'в	ряда'м	ряды'	ряда'ми	ряда'х
страна	страна'	country, land	Land, Staat	f		0	0	0	0	страна'	страны'	стране'	страну'	страно'й, страно'ю	стране'	стра'ны	стра'н	стра'нам	стра'ны	стра'нами	стра'нах
война	война'	war, warfare	Krieg	f		0	0	0	0	война'	войны'	войне'	войну'	войно'й, войно'ю	войне'	во'йны	во'йн	во'йнам	во'йны	во'йнами	во'йнах
минута	мину'та	minute, moment	Minute, Augenblick	f		0	0	0	0	мину'та	мину'ты	мину'те	мину'ту	мину'той, мину'тою	мину'те	мину'ты	мину'т	мину'там	мину'ты	мину'тами	мину'тах
товарищ	това'рищ	comrade, friend, companion, colleague, Comrade, assistant, under-	Freund, Kamerad, Kollege, Kollegin; Genosse, Genossin	m		1	0	0	0	това'рищ	това'рища	това'рищу	това'рища	това'рищем	това'рище	това'рищи	това'рищей	това'рищам	това'рищей	това'рищами	това'рищах
правда	пра'вда	truth	Wahrheit; es ist wahr, es stimmt, wirklich, tatsächlich	f		0	0	0	0	пра'вда	пра'вды	пра'вде	пра'вду	пра'вдой, пра'вдою	пра'вде	пра'вды	пра'вд	пра'вдам	пра'вды	пра'вдами	пра'вдах
часть	часть	part	Teil / Stück, Anteil; Abteilung / Einheit, Truppenteil	f		0	0	0	0	ча'сть	ча'сти	ча'сти	ча'сть	ча'стью	ча'сти	ча'сти	часте'й	частя'м	ча'сти	частя'ми	частя'х
дорога	доро'га	road, way, journey	Weg, Straße, Bahn, Reise	f		0	0	0	0	доро'га	доро'ги	доро'ге	доро'гу	доро'гой, доро'гою	доро'ге	доро'ги	доро'г	доро'гам	доро'ги	доро'гами	доро'гах
свет	свет	light, world, society	Licht; Welt			0	0	0	0	све'т	све'та	све'ту	све'т	све'том	све'те	*све'ты	*све'тов	*све'там	*све'ты	*све'тами	*све'тах
жена	жена'	wife, woman	Ehefrau, Frau	f		1	0	0	0	жена'	жены'	жене'	жену'	жено'й, жено'ю	жене'	жёны	жён	жёнам	жён	жёнами	жёнах
окно	окно'	window, casement-window, window-sill, gap, opening, port, slot, free period, break	Fenster	n		0	0	0	0	окно'	окна'	окну'	окно'	окно'м	окне'	о'кна	о'кон	о'кнам	о'кна	о'кнами	о'кнах
Россия	Росси'я	Russia	Russland	f		0	0	1	0	Росси'я	Росси'и	Росси'и	Росси'ю	Росси'ей,   Росси'ею	Росси'и						
мать	мать	mother	Mutter	f		1	0	0	0	мать	ма'тери	ма'тери	мать	ма'терью	ма'тери	ма'тери	матере'й	матеря'м	матере'й	матеря'ми,  матерьми'	матеря'х
Москва	Москва'	Moscow	Moskau	f		0	0	0	0	Москва'	Москвы'	Москве'	Москву'	Москво'й,  Москво'ю	Москве'						
улица	у'лица	street	Straße	f		0	0	0	0	у'лица	у'лицы	у'лице	у'лицу	у'лицей, у'лицею	у'лице	у'лицы	у'лиц	у'лицам	у'лицы	у'лицами	у'лицах
комната	ко'мната	room	Zimmer; Raum	f		0	0	0	0	ко'мната	ко'мнаты	ко'мнате	ко'мнату	ко'мнатой, ко'мнатою	ко'мнате	ко'мнаты	ко'мнат	ко'мнатам	ко'мнаты	ко'мнатами	ко'мнатах
утро	у'тро	morning, morn	der Morgen (Tagesanfang)	n		0	0	0	0	у'тро	у'тра, утра'	у'тру, утру'	у'тро	у'тром	у'тре	у'тра	утр	у'трам, утра'м	у'тра	у'трами, утра'ми	у'трах, утра'х
вечер	ве'чер	evening	Abend; Abendveranstaltung	m		0	0	0	0	ве'чер	ве'чера	ве'черу	ве'чер	ве'чером	ве'чере	вечера'	вечеро'в	вечера'м	вечера'	вечера'ми	вечера'х
душа	душа'	soul	Seele; das innere Wesen (Geist, Gemüt)	f		0	0	0	0	душа'	души'	душе'	ду'шу	душо'й, душо'ю	душе'	ду'ши	ду'ш	ду'шам	ду'ши	ду'шами	ду'шах
книга	кни'га	book, volume	Buch	f		0	0	0	0	кни'га	кни'ги	кни'ге	кни'гу	кни'гой,     кни'гою	кни'ге	кни'ги	кни'г	кни'гам	кни'ги	кни'гами	кни'гах
плечо	плечо'	shoulder, upper arm, humerus, arm	Schulter, Achsel; Oberarm	n		0	0	0	0	плечо'	плеча'	плечу'	плечо'	плечо'м	плече'	пле'чи	пле'ч	плеча'м	пле'чи	плеча'ми	плеча'х
пол	пол	floor, sex	Fußboden; Geschlecht	m		0	0	0	0	по'л	по'ла	по'лу	по'л	по'лом	полу'	полы'	поло'в	пола'м	полы'	пола'ми	пола'х
народ	наро'д	people, nation	Volk, Menschen	m		0	0	0	0	наро'д	наро'да	наро'ду	наро'д	наро'дом	наро'де	наро'ды	наро'дов	наро'дам	наро'ды	наро'дами	наро'дах
взгляд	взгляд	look, gaze, stare, glance, glare, view, opinion	Ansicht, Meinung; Blick, Sicht, Sichtweise, Aspekt	m		0	0	0	0	взгля'д	взгля'да	взгля'ду	взгля'д	взгля'дом	взгля'де	взгля'ды	взгля'дов	взгля'дам	взгля'ды	взгля'дами	взгля'дах
история	исто'рия	history, story, event	Geschichte	f		0	0	0	0	исто'рия	исто'рии	исто'рии	исто'рию	исто'рией, исто'риею	исто'рии	исто'рии	исто'рий	исто'риям	исто'рии	исто'риями	исто'риях
бог	бог	God, god	Gott	m	богиня	1	0	0	0	бо'г	бо'га	бо'гу	бо'га	бо'гом	бо'ге	бо'ги	бого'в	бога'м	бого'в	бога'ми	бога'х
палец	па'лец	finger, toe, pin, cam	Finger; Zeh, Zehe	m		0	0	0	0	па'лец	па'льца	па'льцу	па'лец	па'льцем	па'льце	па'льцы	па'льцев	па'льцам	па'льцы	па'льцами	па'льцах
имя	и'мя	name, first name; reputation; noun	Name, Vorname, Ruf, Nomen	n		0	0	0	0	и'мя	и'мени	и'мени	и'мя	и'менем	и'мени	имена'	имён	имена'м	имена'	имена'ми	имена'х
мысль	мысль	thought, idea	Gedanke, Idee	f		0	0	0	0	мы'сль	мы'сли	мы'сли	мы'сль	мы'слью	мы'сли	мы'сли	мы'слей	мы'слям	мы'сли	мы'слями	мы'слях
разговор	разгово'р	conversation	Gespräch, Unterhaltung	m		0	0	0	0	разгово'р	разгово'ра	разгово'ру	разгово'р	разгово'ром	разгово'ре	разгово'ры	разгово'ров	разгово'рам	разгово'ры	разгово'рами	разгово'рах
право	пра'во	right, licence, law, really, truly, indeed	Recht, Anrecht, Berechtigung; recht, gerecht; wahrhaftig, wirklich			0	0	0	0	пра'во	пра'ва	пра'ву	пра'во	пра'вом	пра'ве	права'	пра'в	права'м	права'	права'ми	права'х
лес	лес	wood, forest; timber, lumber	Wald; Holz, Bauholz	m		0	0	0	0	лес	ле'са	ле'су	лес	ле'сом	лесу',   ле'се	леса'	лесо'в	леса'м	леса'	леса'ми	леса'х
пять	пять	five, 5	fünf, 5	f		0	0	0	0	пять	пяти					пяти	пя				
сын	сын	son	Sohn			1	0	0	0	сы'н	сы'на	сы'ну	сы'на	сы'ном	сы'не	сыновья'	сынове'й	сыновья'м	сынове'й	сыновья'ми	сыновья'х
путь	путь	way, track, path, race, journey, voyage, passage, duct, means	Weg, Reise, Fahrt; Gleis, Bahnlinie	m		0	0	0	0	путь	пути'	пути'	путь	путём	пути'	пути'	путе'й	путя'м	пути'	путя'ми	путя'х
тысяча	ты'сяча	a thousand	tausend, Tausend	f		0	0	0	0	ты'сяча	ты'сячи	ты'сяче	ты'сячу	ты'сячей, ты'сячею	ты'сяче	ты'сячи	ты'сяч	ты'сячам	ты'сячи	ты'сячами	ты'сячах
пора	пора'	time; it is time to	Zeit, Jahreszeit; es ist Zeit	f		0	0	0	0	пора'	поры'	поре'	пору'	поро'й,   поро'ю	поре'	по'ры	по'р	пора'м	по'ры	пора'ми	пора'х
стена	стена'	wall	Wand, Mauer	f		0	0	0	0	стена'	стены'	стене'	сте'ну	стено'й, стено'ю	стене'	сте'ны	сте'н	сте'нам	сте'ны	сте'нами	сте'нах
спина	спина'	back	Rücken	f		0	0	0	0	спина'	спины'	спине'	спи'ну	спино'й,   спино'ю	спине'	спи'ны	спи'н	спи'нам	спи'ны	спи'нами	спи'нах
месяц	ме'сяц	month, moon	Monat; Mond, junger zunehmender Mond	m		0	0	0	0	ме'сяц	ме'сяца	ме'сяцу	ме'сяц	ме'сяцем	ме'сяце	ме'сяцы	ме'сяцев	ме'сяцам	ме'сяцы	ме'сяцами	ме'сяцах
тело	те'ло	body	Körper	n		0	0	0	0	те'ло	те'ла	те'лу	те'ло	те'лом	те'ле	тела'	те'л	тела'м	тела'	тела'ми	тела'х
язык	язы'к	language; tongue	Sprache; Zunge	m		0	0	0	0	язы'к	языка'	языку'	язы'к	языко'м	языке'	языки'	языко'в	языка'м	языки'	языка'ми	языка'х
мама	ма'ма	mom, mama, mommy, mummy	Mama, Mutti	f		1	0	0	0	ма'ма	ма'мы	ма'ме	ма'му	ма'мой,   ма'мою	ма'ме	ма'мы	ма'м	ма'мам	ма'м	ма'мами	ма'мах
старик	стари'к	old man	der Alte, alter Mann, Greis	m	старуха	1	0	0	0	стари'к	старика'	старику'	старика'	старико'м	старике'	старики'	старико'в	старика'м	старико'в	старика'ми	старика'х
смерть	смерть	death, decease	Tod	f		0	0	0	0	сме'рть	сме'рти	сме'рти	сме'рть	сме'ртью	сме'рти	сме'рти	смерте'й	смертя'м	сме'рти	смертя'ми	смертя'х
власть	власть	power, authority, rule	Macht, Herrschaft	f		0	0	0	0	вла'сть	вла'сти	вла'сти	вла'сть	вла'стью	вла'сти	вла'сти	власте'й	властя'м	вла'сти	властя'ми	властя'х
мальчик	ма'льчик	boy, lad, apprentice	Junge; Knabe / Bub	m		1	0	0	0	ма'льчик	ма'льчика	ма'льчику	ма'льчика	ма'льчиком	ма'льчике	ма'льчики	ма'льчиков	ма'льчикам	ма'льчиков	ма'льчиками	ма'льчиках
образ	о'браз	shape, form, appearance, image, mode, manner, icon, sacred image	Weise (Art, Stil); Image (fig.: Bild von etw.), Gestalt, Form	m		0	0	0	0	о'браз	о'браза	о'бразу	о'браз	о'бразом	о'бразе	о'бразы	о'бразов	о'бразам	о'бразы	о'бразами	о'бразах
письмо	письмо'	letter, writing, script	Brief, Schreiben	n		0	0	0	0	письмо'	письма'	письму'	письмо'	письмо'м	письме'	пи'сьма	пи'сем	пи'сьмам	пи'сьма	пи'сьмами	пи'сьмах
отношение	отноше'ние	relation, relationship; attitude	Beziehung; Verhältnis(se); Einstellung / Verhalten (Haltung)	n		0	0	0	0	отноше'ние	отноше'ния	отноше'нию	отноше'ние	отноше'нием	отноше'нии	отноше'ния	отноше'ний	отноше'ниям	отноше'ния	отноше'ниями	отноше'ниях
сердце	се'рдце	heart	Herz	n		0	0	0	0	се'рдце	се'рдца	се'рдцу	се'рдце	се'рдцем	се'рдце	сердца'	серде'ц	сердца'м	сердца'	сердца'ми	сердца'х
начальник	нача'льник	boss, chief, head, superior	der Vorgesetzte, Leiter, Chef, Vorsteher	m	начальница	1	0	0	0	нача'льник	нача'льника	нача'льнику	нача'льника	нача'льником	нача'льнике	нача'льники	нача'льников	нача'льникам	нача'льников	нача'льниками	нача'льниках
девушка	де'вушка	girl, lass, miss	Mädchen, Fräulein, junge Frau; Partnerin, Freundin	f		1	0	0	0	де'вушка	де'вушки	де'вушке	де'вушку	де'вушкой, де'вушкою	де'вушке	де'вушки	де'вушек	де'вушкам	де'вушек	де'вушками	де'вушках
солдат	солда'т	soldier, regular, private	Soldat	m		1	0	0	0	солда'т	солда'та	солда'ту	солда'та	солда'том	солда'те	солда'ты	солда'т	солда'там	солда'т	солда'тами	солда'тах
небо	не'бо	sky, heaven	Himmel	n		0	0	0	0	не'бо	не'ба	не'бу	не'бо	не'бом	не'бе	небеса'	небе'с	небеса'м	небеса'	небеса'ми	небеса'х
система	систе'ма	system	System	f		0	0	0	0	систе'ма	систе'мы	систе'ме	систе'му	систе'мой, систе'мою	систе'ме	систе'мы	систе'м	систе'мам	систе'мы	систе'мами	систе'мах
воздух	во'здух	air, veil	Luft	m		0	0	1	0	во'здух	во'здуха	во'здуху	во'здух	во'здухом	во'здухе						
ребята	ребя'та	lads, boys; children, kids	junge Leute, Kerle, Jungs				0	0	1							ребя'та	ребя'т	ребя'там	ребя'т	ребя'тами	ребя'тах
брат	брат	brother	Bruder	m		1	0	0	0	брат	бра'та	бра'ту	бра'та	бра'том	бра'те	бра'тья	бра'тьев	бра'тьям	бра'тьев	бра'тьями	бра'тьях
квартира	кварти'ра	flat, apartment, one-room flat, bed-sitter, billets, quarters	Wohnung	f		0	0	0	0	кварти'ра	кварти'ры	кварти'ре	кварти'ру	кварти'рой, кварти'рою	кварти'ре	кварти'ры	кварти'р	кварти'рам	кварти'ры	кварти'рами	кварти'рах
генерал	генера'л	general, General	General	m		0	0	0	0	генера'л	генера'ла	генера'лу	генера'ла	генера'лом	генера'ле	генера'лы	генера'лов	генера'лам	генера'лов	генера'лами	генера'лах
кровь	кровь	blood	Blut	f		0	0	0	0	кро'вь	кро'ви	кро'ви	кро'вь	кро'вью	кро'ви	кро'ви	крове'й	кровя'м	кро'ви	кровя'ми	кровя'х
шаг	шаг	step, stride, pace, tread, footsteps	Schritt			0	0	0	0	ша'г	ша'га	ша'гу	ша'г	ша'гом	ша'ге	шаги'	шаго'в	шага'м	шаги'	шага'ми	шага'х
хозяин	хозя'ин	master, boss, owner, proprietor, host, landlord, man, husband	Besitzer, Herr, Herrchen; Hausherr, Gastgeber, Wirt	m		1	0	0	0	хозя'ин	хозя'ина	хозя'ину	хозя'ина	хозя'ином	хозя'ине	хозя'ева	хозя'ев	хозя'евам	хозя'ев	хозя'евами	хозя'евах
внимание	внима'ние	attention, notice, note, kindness, consideration	Aufmerksamkeit; Beachtung, Rücksicht	n		0	0	0	0	внима'ние	внима'ния	внима'нию	внима'ние	внима'нием	внима'нии	внима'ния	внима'ний	внима'ниям	внима'ния	внима'ниями	внима'ниях
школа	шко'ла	school, schoolhouse	Schule	f		0	0	0	0	шко'ла	шко'лы	шко'ле	шко'лу	шко'лой, шко'лою	шко'ле	шко'лы	шко'л	шко'лам	шко'лы	шко'лами	шко'лах
труд	труд	difficulty, labour, work, toil, trouble, difficulty	Arbeit, Mühe, Werk, Werkunterricht	m		0	0	0	0	тру'д	труда'	труду'	тру'д	трудо'м	труде'	труды'	трудо'в	труда'м	труды'	труда'ми	труда'х
капитан	капита'н	captain, master	Kapitän, Hauptmann, Mannschaftskapitän	m		1	0	0	0	капита'н	капита'на	капита'ну	капита'на	капита'ном	капита'не	капита'ны	капита'нов	капита'нам	капита'нов	капита'нами	капита'нах
парень	па'рень	boy, guy, fellow, lad, chap, bloke	Bursche, Kerl, Junge; Partner, Freund	m		1	0	0	0	па'рень	па'рня	па'рню	па'рня	па'рнем	па'рне	па'рни	парне'й	парня'м	парне'й	парня'ми	парня'х
группа	гру'ппа	group, cluster, clump	Gruppe; Band (Musikgruppe)	f		0	0	0	0	гру'ппа	гру'ппы	гру'ппе	гру'ппу	гру'ппой, гру'ппою	гру'ппе	гру'ппы	гру'пп	гру'ппам	гру'ппы	гру'ппами	гру'ппах
солнце	со'лнце	sun	Sonne	n		0	0	0	0	со'лнце	со'лнца	со'лнцу	со'лнце	со'лнцем	со'лнце	со'лнца	со'лнц	со'лнцам	со'лнца	со'лнцами	со'лнцах
любовь	любо'вь	love	Liebe	f		0	0	0	0	любо'вь	любви'	любви'	любо'вь	любо'вью	любви'	любви'	любве'й	любвя'м	любви'	любвя'ми	любвя'х
ухо	у'хо	ear	Ohr	n		0	0	0	0	у'хо	у'ха	у'ху	у'хо	у'хом	у'хе	у'ши	уше'й	уша'м	у'ши	уша'ми	уша'х
неделя	неде'ля	week	Woche	f		0	0	0	0	неде'ля	неде'ли	неде'ле	неде'лю	неде'лей, неде'лею	неде'ле	неде'ли	неде'ль	неде'лям	неде'ли	неде'лями	неде'лях
ответ	отве'т	answer, reply, response	Antwort, Lösung	m		0	0	0	0	отве'т	отве'та	отве'ту	отве'т	отве'том	отве'те	отве'ты	отве'тов	отве'там	отве'ты	отве'тами	отве'тах
берег	бе'рег	bank, shore, coast, beach	Ufer, Land; Küste, Strand				0	0	0	бе'рег	бе'рега	бе'регу	бе'рег	бе'регом	бе'реге	берега'	берего'в	берега'м	берега'	берега'ми	берега'х
помощь	по'мощь	help, assistance, aid, relief	Hilfe	f		0	0	0	0	по'мощь	по'мощи	по'мощи	по'мощь	по'мощью	по'мощи	по'мощи	по'мощей	по'мощам	по'мощи	по'мощами	по'мощах
мужчина	мужчи'на	man	Mann	m		1	0	0	0	мужчи'на	мужчи'ны	мужчи'не	мужчи'ну	мужчи'ной,  мужчи'ною	мужчи'не	мужчи'ны	мужчи'н	мужчи'нам	мужчи'н	мужчи'нами	мужчи'нах
момент	моме'нт	moment, instant, feature	Moment, Augenblick, Punkt	m		0	0	0	0	моме'нт	моме'нта	моме'нту	моме'нт	моме'нтом	моме'нте	моме'нты	моме'нтов	моме'нтам	моме'нты	моме'нтами	моме'нтах
газета	газе'та	newspaper, paper, daily paper, daily	Zeitung	f		0	0	0	0	газе'та	газе'ты	газе'те	газе'ту	газе'той, газе'тою	газе'те	газе'ты	газе'т	газе'там	газе'ты	газе'тами	газе'тах
чувство	чу'вство	feeling	Gefühl, Emotion; Sinn, Empfindung	n		0	0	0	0	чу'вство	чу'вства	чу'вству	чу'вство	чу'вством	чу'встве	чу'вства	чу'вств	чу'вствам	чу'вства	чу'вствами	чу'вствах
порядок	поря'док	In order, sequence, procedure, array, usages, customs	Ordnung, Reihenfolge	m		0	0	0	0	поря'док	поря'дка	поря'дку	поря'док	поря'дком	поря'дке	поря'дки	поря'дков	поря'дкам	поря'дки	поря'дками	поря'дках
семья	семья'	family	Familie	f		0	0	0	0	семья'	семьи'	семье'	семью'	семьёй, семьёю	семье'	се'мьи	семе'й	се'мьям	се'мьи	се'мьями	се'мьях
армия	а'рмия	army, forces, host	Armee	f		0	0	0	0	а'рмия	а'рмии	а'рмии	а'рмию	а'рмией, а'рмиею	а'рмии	а'рмии	а'рмий	а'рмиям	а'рмии	а'рмиями	а'рмиях
возможность	возмо'жность	possibility, opportunity, chance, means, resources	Möglichkeit, Gelegenheit	f		0	0	0	0	возмо'жность	возмо'жности	возмо'жности	возмо'жность	возмо'жностью	возмо'жности	возмо'жности	возмо'жностей	возмо'жностям	возмо'жности	возмо'жностями	возмо'жностях
движение	движе'ние	movement	Bewegung; Verkehr	n		0	0	0	0	движе'ние	движе'ния	движе'нию	движе'ние	движе'нием	движе'нии	движе'ния	движе'ний	движе'ниям	движе'ния	движе'ниями	движе'ниях
муж	муж	husband, man	Mann, Ehemann	m		1	0	0	0	муж	му'жа	му'жу	му'жа	му'жем	му'же	мужья'	муже'й	мужья'м	муже'й	мужья'ми	мужья'х
нос	нос	nose, beak, bow, head, prow	Nase; Bug	m		0	0	0	0	нос	но'са, но'су	но'су	нос	но'сом	но'се	носы'	носо'в	носа'м	носы'	носа'ми	носа'х
