bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
пережидать	пережида'ть	wait till is over	abwarten	imperfective	переждать	пережида'й	пережида'йте	пережида'л	пережида'ла	пережида'ло	пережида'ли	пережида'ю	пережида'ешь	пережида'ет	пережида'ем	пережида'ете	пережида'ют
умиляться	умиля'ться		gerührt sein	imperfective	умилиться	умиля'йся	умиля'йтесь	умиля'лся	умиля'лась	умиля'лось	умиля'лись	умиля'юсь	умиля'ешься	умиля'ется	умиля'емся	умиля'етесь	умиля'ются
выгребать	выгреба'ть	rake out, remove, row	herauskratzen, herausscharren; ausleeren; hinausrudern	imperfective	выгрести	выгреба'й	выгреба'йте	выгреба'л	выгреба'ла	выгреба'ло	выгреба'ли	выгреба'ю	выгреба'ешь	выгреба'ет	выгреба'ем	выгреба'ете	выгреба'ют
прорастать	прораста'ть	germinate, sprout, shoot	keimen; sprießen, sprossen	imperfective	прорасти	прораста'й	прораста'йте	прораста'л	прораста'ла	прораста'ло	прораста'ли	прораста'ю	прораста'ешь	прораста'ет	прораста'ем	прораста'ете	прораста'ют
ввозить	ввози'ть	bring in, import	einführen (importieren)	imperfective	ввезти	ввози'	ввози'те	ввози'л	ввози'ла	ввози'ло	ввози'ли	ввожу'	вво'зишь	вво'зит	вво'зим	вво'зите	вво'зят
отрастить	отрасти'ть	grow	wachsen lassen	perfective	отращивать	отрасти'	отрасти'те	отрасти'л	отрасти'ла	отрасти'ло	отрасти'ли	отращу'	отрасти'шь	отрасти'т	отрасти'м	отрасти'те	отрастя'т
сбавлять	сбавля'ть	take off	herabsetzen, vermindern	imperfective	сбавить	сбавля'й	сбавля'йте	сбавля'л	сбавля'ла	сбавля'ло	сбавля'ли	сбавля'ю	сбавля'ешь	сбавля'ет	сбавля'ем	сбавля'ете	сбавля'ют
измучиться	изму'читься	be tired out, be exhausted, be worried to death	sich abquälen	perfective	измучиваться	изму'чься	изму'чьтесь	изму'чился	изму'чилась	изму'чилось	изму'чились	изму'чусь	изму'чишься	изму'чится	изму'чимся	изму'читесь	изму'чатся
позванивать	позва'нивать	call	von Zeit zu Zeit anrufen	imperfective	-	позва'нивай	позва'нивайте	позва'нивал	позва'нивала	позва'нивало	позва'нивали	позва'ниваю	позва'ниваешь	позва'нивает	позва'ниваем	позва'ниваете	позва'нивают
увёртываться	увёртываться	dodge, evade	ausweichen, aus dem Weg gehen	imperfective	увернуться	увёртывайся	увёртывайтесь	увёртывался	увёртывалась	увёртывалось	увёртывались	увёртываюсь	увёртываешься	увёртывается	увёртываемся	увёртываетесь	увёртываются
глодать	глода'ть	gnaw	nagen, quälen, zermürben; knabbern	imperfective	-	гложи'	гложи'те	глода'л	глода'ла	глода'ло	глода'ли	гложу'	гло'жешь	гло'жет	гло'жем	гло'жете	гло'жут
отклониться	отклони'ться	reject, turn-down; veer-off	abweichen, ausweichen	perfective	отклоняться	отклони'сь	отклони'тесь	отклони'лся	отклони'лась	отклони'лось	отклони'лись	отклоню'сь	откло'нишься	откло'нится	откло'нимся	откло'нитесь	откло'нятся
переодеть	переоде'ть	disguise, change	umziehen, umkleiden (vt. ); etwas anderes anziehen; verkleiden	perfective	переодевать	переоде'нь	переоде'ньте	переоде'л	переоде'ла	переоде'ло	переоде'ли	переоде'ну	переоде'нешь	переоде'нет	переоде'нем	переоде'нете	переоде'нут
обобрать	обобра'ть	pick, gather, rob, fleece	ausplündern, abzocken; aufsammeln, pflücken	perfective	обирать	обери'	обери'те	обобра'л	обобрала'	обобра'ло	обобра'ли	оберу'	оберёшь	оберёт	оберём	оберёте	оберу'т
наглотаться	наглота'ться	swallow	zu viel schlucken	perfective	-	наглота'йся	наглота'йтесь	наглота'лся	наглота'лась	наглота'лось	наглота'лись	наглота'юсь	наглота'ешься	наглота'ется	наглота'емся	наглота'етесь	наглота'ются
линять	линя'ть	fade, lose colour, run, shed hair, cast the coat, moult, slough	haaren, federn, abfärben; ausbleichen, sich verfärben; sich verdrücken, abhauen	imperfective	полинять,слинять	линя'й	линя'йте	линя'л	линя'ла	линя'ло	линя'ли	линя'ю	линя'ешь	линя'ет	линя'ем	линя'ете	линя'ют
начинить	начини'ть	mend, sharpen, point	spicken, füllen, farcieren	perfective	начинять	начини'	начини'те	начини'л	начини'ла	начини'ло	начини'ли	начиню'	начини'шь	начини'т	начини'м	начини'те	начиня'т
сопоставлять	сопоставля'ть	compare, confront	konfrontieren, gegenüberstellen, abgleichen	imperfective	сопоставить	сопоставля'й	сопоставля'йте	сопоставля'л	сопоставля'ла	сопоставля'ло	сопоставля'ли	сопоставля'ю	сопоставля'ешь	сопоставля'ет	сопоставля'ем	сопоставля'ете	сопоставля'ют
сплющить	сплю'щить	flatten	plattdrücken	perfective	плющить,сплющивать	сплю'щи//сплю'щь	сплю'щьте	сплю'щил	сплю'щила	сплю'щило	сплю'щили	сплю'щу	сплю'щишь	сплю'щит	сплю'щим	сплю'щите	сплю'щат
докончить	доко'нчить	finish, end	beenden, zu Ende führen	perfective	доканчивать	доко'нчи	доко'нчите	доко'нчил	доко'нчила	доко'нчило	доко'нчили	доко'нчу	доко'нчишь	доко'нчит	доко'нчим	доко'нчите	доко'нчат
помешивать	поме'шивать	stir slowly	ab und zu umrühren	imperfective		поме'шивай	поме'шивайте	поме'шивал	поме'шивала	поме'шивало	поме'шивали	поме'шиваю	поме'шиваешь	поме'шивает	поме'шиваем	поме'шиваете	поме'шивают
