bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
быть	быть	be	sein, werden	imperfective		бу'дь	бу'дьте	бы'л	была'	бы'ло	бы'ли	есть	есть	есть	есть	есть	есть
сказать	сказа'ть	say, tell, speak, talk	sagen, mitteilen	perfective	говорить	скажи'	скажи'те	сказа'л	сказа'ла	сказа'ло	сказа'ли	скажу'	ска'жешь	ска'жет	ска'жем	ска'жете	ска'жут
мочь	мочь	be able, can	können, imstande sein, dürfen	imperfective	смочь	моги'	моги'те	мо'г	могла'	могло'	могли'	могу'	мо'жешь	мо'жет	мо'жем	мо'жете	мо'гут
знать	знать	know, be aware, be acquainted, have a knowledge, aristocracy, nobility, the elite, evidently, it seems	wissen, kennen, sich auskennen, Bescheid wissen, können, verstehen, beherrschen	imperfective	узнать	зна'й	зна'йте	зна'л	зна'ла	зна'ло	зна'ли	зна'ю	зна'ешь	зна'ет	зна'ем	зна'ете	зна'ют
говорить	говори'ть	speak, talk gapirish	sprechen, reden, sagen	imperfective	сказать;поговорить	говори'	говори'те	говори'л	говори'ла	говори'ло	говори'ли	говорю'	говори'шь	говори'т	говори'м	говори'те	говоря'т
есть	есть	eat	essen, fressen	imperfective	съесть;поесть	е'шь	е'шьте	е'л	е'ла	е'ло	е'ли	е'м	е'шь	е'ст	еди'м	еди'те	едя'т
хотеть	хоте'ть	want; to feel like	wollen, möchten, Lust haben	imperfective	захотеть	хоти'	хоти'те	хоте'л	хоте'ла	хоте'ло	хоте'ли	хочу'	хо'чешь	хо'чет	хоти'м	хоти'те	хотя'т
видеть	ви'деть	see	sehen; treffen, begegnen	imperfective	завидеть;увидеть	ви'дь	ви'дьте	ви'дел	ви'дела	ви'дело	ви'дели	ви'жу	ви'дишь	ви'дит	ви'дим	ви'дите	ви'дят
идти	идти'	go, walk	gehen, kommen, folgen, fahren, abgehen, fuhren, vergehen, stattfinden, laufen, gezeigt werden, stehen, passen	imperfective	-	иди'	иди'те	шёл	шла'	шло'	шли'	иду'	идёшь	идёт	идём	идёте	иду'т
стоять	стоя'ть	stand	stehen, halten, anhalten, andauern, sein, herrschen; einstehen, eintreten für, sich einsetzen für	imperfective	постоять	сто'й	сто'йте	стоя'л	стоя'ла	стоя'ло	стоя'ли	стою'	стои'шь	стои'т	стои'м	стои'те	стоя'т
думать	ду'мать	think, consider, reflect, ponder, believe, intend	denken, überlegen, nachdenken, meinen, glauben, beabsichtigen; erinnern; nachdenken	imperfective	подумать	ду'май	ду'майте	ду'мал	ду'мала	ду'мало	ду'мали	ду'маю	ду'маешь	ду'мает	ду'маем	ду'маете	ду'мают
спросить	спроси'ть	ask, inquire, demand	fragen, eine Frage stellen, sich erkundigen, bitten, abfragen	perfective	спрашивать	спроси'	спроси'те	спроси'л	спроси'ла	спроси'ло	спроси'ли	спрошу'	спро'сишь	спро'сит	спро'сим	спро'сите	спро'сят
жить	жить	live	leben, wohnen	imperfective	прожить	живи'	живи'те	жи'л	жила'	жи'ло,жило'	жи'ли	живу'	живёшь	живёт	живём	живёте	живу'т
смотреть	смотре'ть	look, watch	schauen, sehen, ansehen, zusehen	imperfective	посмотреть	смотри'	смотри'те	смотре'л	смотре'ла	смотре'ло	смотре'ли	смотрю'	смо'тришь	смо'трит	смо'трим	смо'трите	смо'трят
иметь	име'ть	have	haben, besitzen; bumsen, ficken, vögeln	imperfective		име'й	име'йте	име'л	име'ла	име'ло	име'ли	име'ю	име'ешь	име'ет	име'ем	име'ете	име'ют
понять	поня'ть	understand, comprehend, realize	verstehen, erkennen; begreifen, einsehen	perfective	понимать	пойми'	пойми'те	по'нял	поняла'	по'няло	по'няли	пойму'	поймёшь	поймёт	поймём	поймёте	пойму'т
сидеть	сиде'ть	sit, be perched, be, fit	sitzen, passen	imperfective	посидеть;сесть	сиди'	сиди'те	сиде'л	сиде'ла	сиде'ло	сиде'ли	сижу'	сиди'шь	сиди'т	сиди'м	сиди'те	сидя'т
делать	де'лать	make, do	machen, erledigen; tun; anfertigen, herstellen	imperfective	сделать;поделать	де'лай	де'лайте	де'лал	де'лала	де'лало	де'лали	де'лаю	де'лаешь	де'лает	де'лаем	де'лаете	де'лают
сделать	сде'лать	make; do	machen, erledigen; tun; anfertigen, herstellen	perfective	делать	сде'лай	сде'лайте	сде'лал	сде'лала	сде'лало	сде'лали	сде'лаю	сде'лаешь	сде'лает	сде'лаем	сде'лаете	сде'лают
взять	взять	take, hire	nehmen, holen	perfective	брать;взимать;взымать	возьми'	возьми'те	взя'л	взяла'	взя'ло,взяло'	взя'ли	возьму'	возьмёшь	возьмёт	возьмём	возьмёте	возьму'т
понимать	понима'ть	understand, comprehend, realize	verstehen, erkennen; begreifen, einsehen	imperfective	понять	понима'й	понима'йте	понима'л	понима'ла	понима'ло	понима'ли	понима'ю	понима'ешь	понима'ет	понима'ем	понима'ете	понима'ют
казаться	каза'ться	seem, appear, strike as, look	scheinen (den Anschein haben, anmuten), erscheinen, aussehen, zu sein scheinen, vorkommen	imperfective	показаться	кажи'сь	кажи'тесь	каза'лся	каза'лась	каза'лось	каза'лись	кажу'сь	ка'жешься	ка'жется	ка'жемся	ка'жетесь	ка'жутся
начать	нача'ть	begin, start, commence	anfangen, beginnen	perfective	начинать	начни'	начни'те	на'чал	начала'	на'чало	на'чали	начну'	начнёшь	начнёт	начнём	начнёте	начну'т
увидеть	уви'деть	see	sehen, erblicken, bemerken; treffen, begegnen	perfective	видеть	уви'дь	уви'дьте	уви'дел	уви'дела	уви'дело	уви'дели	уви'жу	уви'дишь	уви'дит	уви'дим	уви'дите	уви'дят
давать	дава'ть	give	geben; gewähren	imperfective	дать	дава'й	дава'йте	дава'л	дава'ла	дава'ло	дава'ли	даю'	даёшь	даёт	даём	даёте	даю'т
пойти	пойти'	go; walk	losgehen (gehen, aufbrechen), loslaufen, sich auf den Weg machen, in Gang kommen, └ seinen / ihren┘ Lauf nehmen; anfangen / beginnen (losgehen), starten; geraten nach / kommen nach	perfective	-	пойди'	пойди'те	пошёл	пошла'	пошло'	пошли'	пойду'	пойдёшь	пойдёт	пойдём	пойдёте	пойду'т
остаться	оста'ться	remain, stay, be left	bleiben; übrig bleiben; zufallen, in den Besitz übergehen, erben	perfective	оставаться	оста'нься	оста'ньтесь	оста'лся	оста'лась	оста'лось	оста'лись	оста'нусь	оста'нешься	оста'нется	оста'немся	оста'нетесь	оста'нутся
выйти	вы'йти	leave, go out, get out; be published, be issued; to marry (him)	hinausgehen, hinaustreten, verlassen, aussteigen, herauskommen; alle sein, ausgehen; gelingen, geraten; erscheinen, herauskommen	perfective	выходить	вы'йди	вы'йдите	вы'шел	вы'шла	вы'шло	вы'шли	вы'йду	вы'йдешь	вы'йдет	вы'йдем	вы'йдете	вы'йдут
дать	дать	give	geben	perfective	давать	да'й	да'йте	да'л	дала'	да'ло,дало'	да'ли	да'м	да'шь	да'ст	дади'м	дади'те	даду'т
работать	рабо'тать	work, operate	arbeiten, berufstätig sein, sein, tätig sein, geöffnet sein; funktionieren, in Betrieb sein, gehen, laufen	imperfective	поработать;сработать	рабо'тай	рабо'тайте	рабо'тал	рабо'тала	рабо'тало	рабо'тали	рабо'таю	рабо'таешь	рабо'тает	рабо'таем	рабо'таете	рабо'тают
оказаться	оказа'ться	to turn out to be, to be found to be	sich erweisen / herausstellen, sich entpuppen; sich befinden, geraten, gelangen	perfective	оказываться	окажи'сь	окажи'тесь	оказа'лся	оказа'лась	оказа'лось	оказа'лись	окажу'сь	ока'жешься	ока'жется	ока'жемся	ока'жетесь	ока'жутся
ответить	отве'тить	answer, reply, respond	antworten, beantworten; verantworten	perfective	отвечать	отве'ть	отве'тьте	отве'тил	отве'тила	отве'тило	отве'тили	отве'чу	отве'тишь	отве'тит	отве'тим	отве'тите	отве'тят
подумать	поду'мать	think a little, for a while	denken, überlegen	perfective	думать	поду'май	поду'майте	поду'мал	поду'мала	поду'мало	поду'мали	поду'маю	поду'маешь	поду'мает	поду'маем	поду'маете	поду'мают
любить	люби'ть	love; like	lieben, mögen, liebhaben, gern haben	imperfective	полюбить	люби'	люби'те	люби'л	люби'ла	люби'ло	люби'ли	люблю'	лю'бишь	лю'бит	лю'бим	лю'бите	лю'бят
значить	зна'чить	mean, signify	bedeuten, heißen, gelten	imperfective		зна'чь	зна'чьте	зна'чил	зна'чила	зна'чило	зна'чили	зна'чу	зна'чишь	зна'чит	зна'чим	зна'чите	зна'чат
ждать	ждать	wait, expect, await	warten, erwarten	imperfective	подождать	жди'	жди'те	жда'л	ждала'	жда'ло	жда'ли	жду'	ждёшь	ждёт	ждём	ждёте	жду'т
посмотреть	посмотре'ть	look, watch	schauen, sehen, ansehen	perfective	смотреть	посмотри'	посмотри'те	посмотре'л	посмотре'ла	посмотре'ло	посмотре'ли	посмотрю'	посмо'тришь	посмо'трит	посмо'трим	посмо'трите	посмо'трят
найти	найти'	find	finden, ausfindig machen	perfective	находить	найди'	найди'те	нашёл	нашла'	нашло'	нашли'	найду'	найдёшь	найдёт	найдём	найдёте	найду'т
лежать	лежа'ть	lay; be situated	liegen; Platz!	imperfective	лечь;полежать	лежи'	лежи'те	лежа'л	лежа'ла	лежа'ло	лежа'ли	лежу'	лежи'шь	лежи'т	лежи'м	лежи'те	лежа'т
решить	реши'ть	decide, determine, resolve, be determined, solve	lösen; entscheiden, beschließen, einen Entschluß fassen, eine Entscheidung treffen	perfective	решать	реши'	реши'те	реши'л	реши'ла	реши'ло	реши'ли	решу'	реши'шь	реши'т	реши'м	реши'те	реша'т
получить	получи'ть	receive, get, obtain	bekommen, empfangen; erhalten	perfective	получать	получи'	получи'те	получи'л	получи'ла	получи'ло	получи'ли	получу'	полу'чишь	полу'чит	полу'чим	полу'чите	полу'чат
писать	писа'ть	write; paint	schreiben, malen	imperfective	написать	пиши'	пиши'те	писа'л	писа'ла	писа'ло	писа'ли	пишу'	пи'шешь	пи'шет	пи'шем	пи'шете	пи'шут
вернуться	верну'ться	return	zurückkehren; zurückkommen, zurück sein	perfective	возвращаться	верни'сь	верни'тесь	верну'лся	верну'лась	верну'лось	верну'лись	верну'сь	вернёшься	вернётся	вернёмся	вернётесь	верну'тся
считать	счита'ть	consider, deem, find, think; count, compute	glauben (jmd./etw. zählen zu), halten für, meinen, denken; zählen, rechnen	imperfective	честь;счесть;посчитать	счита'й	счита'йте	счита'л	счита'ла	счита'ло	счита'ли	счита'ю	счита'ешь	счита'ет	счита'ем	счита'ете	счита'ют
помнить	по'мнить	remember, keep in mind	sich erinnern, denken an	imperfective	запомнить	по'мни	по'мните	по'мнил	по'мнила	по'мнило	по'мнили	по'мню	по'мнишь	по'мнит	по'мним	по'мните	по'мнят
узнать	узна'ть	know, recognize, discover; learn, find out; get to know	erkennen, wiedererkennen; erfahren, in Erfahrung bringen, sich erkundigen nach; etw. / jmd. kennenlernen	perfective	знать;узнавать	узна'й	узна'йте	узна'л	узна'ла	узна'ло	узна'ли	узна'ю	узна'ешь	узна'ет	узна'ем	узна'ете	узна'ют
прийти	прийти'	come, arrive	ankommen, (her)kommen, angelangen	perfective	приходить	приди'	приди'те	пришёл	пришла'	пришло'	пришли'	приду'	придёшь	придёт	придём	придёте	приду'т
ходить	ходи'ть	go, walk, move, pass	gehen, fahren, verkehren; etw. umgehen, zur Seite gehen	imperfective	сходить	ходи'	ходи'те	ходи'л	ходи'ла	ходи'ло	ходи'ли	хожу'	хо'дишь	хо'дит	хо'дим	хо'дите	хо'дят
заметить	заме'тить	notice, note, observe, sight, catch sight, pay heed, remark	bemerken, merken, sagen, eine Bemerkung machen	perfective	замечать	заме'ть	заме'тьте	заме'тил	заме'тила	заме'тило	заме'тили	заме'чу	заме'тишь	заме'тит	заме'тим	заме'тите	заме'тят
бывать	быва'ть	to be at, to have; to visit; to happen/occur	vorkommen, geschehen, passieren, stattfinden, sein	imperfective	побывать	быва'й	быва'йте	быва'л	быва'ла	быва'ло	быва'ли	быва'ю	быва'ешь	быва'ет	быва'ем	быва'ете	быва'ют
слышать	слы'шать	hear	hören	imperfective	услышать	слы'шь	слы'шьте	слы'шал	слы'шала	слы'шало	слы'шали	слы'шу	слы'шишь	слы'шит	слы'шим	слы'шите	слы'шат
уйти	уйти'	leave, depart	weggehen, fortgehen, verlassen, gehen in (Rente, Urlaub etc.), abfahren. wegfahren; entgehen, entrinnen, entkommen	perfective	уходить	уйди'	уйди'те	ушёл	ушла'	ушло'	ушли'	уйду'	уйдёшь	уйдёт	уйдём	уйдёте	уйду'т
бояться	боя'ться	be afraid, dread, fear	Angst haben, sich fürchten; etw. fürchten / befürchten	imperfective	побояться;забояться	бо'йся	бо'йтесь	боя'лся	боя'лась	боя'лось	боя'лись	бою'сь	бои'шься	бои'тся	бои'мся	бои'тесь	боя'тся
слушать	слу'шать	listen, hear, attend, examine chest, auscultate, obey	zuhören, * hören (nur im Sinne von "auch zuhören"); hinhören, lauschen	imperfective	послушать	слу'шай	слу'шайте	слу'шал	слу'шала	слу'шало	слу'шали	слу'шаю	слу'шаешь	слу'шает	слу'шаем	слу'шаете	слу'шают
глядеть	гляде'ть	look, peer, show, face, look out, give, point, look like, see	anblicken, anschauen; einen Blick werfen auf (aufpassen)	imperfective	глянуть;поглядеть	гляди'	гляди'те	гляде'л	гляде'ла	гляде'ло	гляде'ли	гляжу'	гляди'шь	гляди'т	гляди'м	гляди'те	глядя'т
сесть	сесть	sit down	sich setzen, sich hinsetzen, Platz nehmen	perfective	садиться	сядь	ся'дьте	се'л	се'ла	се'ло	се'ли	ся'ду	ся'дешь	ся'дет	ся'дем	ся'дете	ся'дут
оставаться	остава'ться	remain, stay, be left	bleiben, sein, übrigbleiben	imperfective	остаться	остава'йся	остава'йтесь	остава'лся	остава'лась	остава'лось	остава'лись	остаю'сь	остаёшься	остаётся	остаёмся	остаётесь	остаю'тся
хотеться	хоте'ться	like	wollen, mögen, möchten, Lust haben	imperfective	захотеться					хоте'лось				хо'чется			
написать	написа'ть	write; paint	schreiben; malen	perfective	писать	напиши'	напиши'те	написа'л	написа'ла	написа'ло	написа'ли	напишу'	напи'шешь	напи'шет	напи'шем	напи'шете	напи'шут
пусть	пусть	Let be	lass / möge / soll ...; wenn auch, obwohl, selbst wenn; sei	perfective													
читать	чита'ть	read	lesen	imperfective	прочитать;почитать;прочесть	чита'й	чита'йте	чита'л	чита'ла	чита'ло	чита'ли	чита'ю	чита'ешь	чита'ет	чита'ем	чита'ете	чита'ют
чувствовать	чу'вствовать	feel, have a sensation, sense	fühlen, empfinden, spüren	imperfective	почувствовать	чу'вствуй	чу'вствуйте	чу'вствовал	чу'вствовала	чу'вствовало	чу'вствовали	чу'вствую	чу'вствуешь	чу'вствует	чу'вствуем	чу'вствуете	чу'вствуют
вести	вести'	lead, conduct, direct; drive a car; to behave (oneself); to keep a diary	führen, (ge)leiten; fahren, lenken (ein Fahrzeug "führen" etc.); sich verhalten, sich benehmen, sich (auf)führen	imperfective	повести	веди'	веди'те	вёл	вела'	вело'	вели'	веду'	ведёшь	ведёт	ведём	ведёте	веду'т
продолжать	продолжа'ть	continue, go on, proceed, keep on, extend, prolong	fortsetzen, weitermachen	imperfective	продолжить	продолжа'й	продолжа'йте	продолжа'л	продолжа'ла	продолжа'ло	продолжа'ли	продолжа'ю	продолжа'ешь	продолжа'ет	продолжа'ем	продолжа'ете	продолжа'ют
успеть	успе'ть	to have time, to find time; to manage, to succeed; to arrive in time (for); to catch	es schaffen, rechtzeitig kommen, mitkommen; etw. erreichen, etw. erwischen	perfective	успевать	успе'й	успе'йте	успе'л	успе'ла	успе'ло	успе'ли	успе'ю	успе'ешь	успе'ет	успе'ем	успе'ете	успе'ют
брать	брать	take	nehmen, holen; einstellen	imperfective	взять;побрать	бери'	бери'те	бра'л	брала'	бра'ло	бра'ли	беру'	берёшь	берёт	берём	берёте	беру'т
пройти	пройти'	pass; get to, go to, reach; make one's way	vorübergehen / vorbeigehen, zurückliegen, vergehen, vorbei sein, aufhören; stattfinden, verlaufen, durchnehmen, behandeln	perfective	проходить	пройди'	пройди'те	прошёл	прошла'	прошло'	прошли'	пройду'	пройдёшь	пройдёт	пройдём	пройдёте	пройду'т
начинать	начина'ть	begin, start, commence	anfangen, beginnen	imperfective	начать	начина'й	начина'йте	начина'л	начина'ла	начина'ло	начина'ли	начина'ю	начина'ешь	начина'ет	начина'ем	начина'ете	начина'ют
появиться	появи'ться	appear, show up, emerge	erscheinen, auftauchen, auftreten, aufkommen, entstehen; sich zeigen, sichtbar werden	perfective	появляться	появи'сь	появи'тесь	появи'лся	появи'лась	появи'лось	появи'лись	появлю'сь	поя'вишься	поя'вится	поя'вимся	поя'витесь	поя'вятся
забыть	забы'ть	forget	vergessen; verabsäumen, nicht denken an	perfective	забывать	забу'дь	забу'дьте	забы'л	забы'ла	забы'ло	забы'ли	забу'ду	забу'дешь	забу'дет	забу'дем	забу'дете	забу'дут
вспомнить	вспо'мнить	remember, recollect, recall, think of	sich erinnern, sich entsinnen, zurückdenken	perfective	вспоминать	вспо'мни	вспо'мните	вспо'мнил	вспо'мнила	вспо'мнило	вспо'мнили	вспо'мню	вспо'мнишь	вспо'мнит	вспо'мним	вспо'мните	вспо'мнят
пытаться	пыта'ться	try to	versuchen, probieren, sich bemühen	imperfective	попытаться	пыта'йся	пыта'йтесь	пыта'лся	пыта'лась	пыта'лось	пыта'лись	пыта'юсь	пыта'ешься	пыта'ется	пыта'емся	пыта'етесь	пыта'ются
находиться	находи'ться	be situated	sich befinden, vorhanden sein, sich aufhalten	imperfective	найтись	находи'сь	находи'тесь	находи'лся	находи'лась	находи'лось	находи'лись	нахожу'сь	нахо'дишься	нахо'дится	нахо'димся	нахо'дитесь	нахо'дятся
держать	держа'ть	keep; hold	halten, festhalten; behalten, aufbewahren; verhalten, benehmen	imperfective	подержать;сдержать	держи'	держи'те	держа'л	держа'ла	держа'ло	держа'ли	держу'	де'ржишь	де'ржит	де'ржим	де'ржите	де'ржат
просить	проси'ть	request, ask for	bitten, auffordern, einladen	imperfective	попросить	проси'	проси'те	проси'л	проси'ла	проси'ло	проси'ли	прошу'	про'сишь	про'сит	про'сим	про'сите	про'сят
показать	показа'ть	show, display, point	zeigen, herzeigen, vorführen; aufzeigen, aufweisen; vorzeigen, vorweisen (Leistung, Fähigkeiten: sich auszeichnen)	perfective	показывать	покажи'	покажи'те	показа'л	показа'ла	показа'ло	показа'ли	покажу'	пока'жешь	пока'жет	пока'жем	пока'жете	пока'жут
выходить	выходи'ть	go out, come out, leave; use up, run out of; get married; be published, be issued	herausgehen, verlassen, aussteigen	imperfective	вы'йти	выходи'	выходи'те	выходи'л	выходи'ла	выходи'ло	выходи'ли	выхожу'	выхо'дишь	выхо'дит	выхо'дим	выхо'дите	выхо'дят
поднять	подня'ть	lift, raise, lift up, heave, pick up	aufheben, aufsammeln, hochhelfen, heben, hochheben, hochnehmen, wecken; steigern, erhöhen	perfective	поднимать	подними'	подними'те	по'днял,подня'л	подняла'	по'дняло,подня'ло	по'дняли,подня'ли	подниму'	подни'мешь	подни'мет	подни'мем	подни'мете	подни'мут
называть	называ'ть	name, call	nennen / benennen	imperfective	назвать	называ'й	называ'йте	называ'л	называ'ла	называ'ло	называ'ли	называ'ю	называ'ешь	называ'ет	называ'ем	называ'ете	называ'ют
послать	посла'ть	send, dispatch	schicken, senden	perfective	посылать;слать	пошли'	пошли'те	посла'л	посла'ла	посла'ло	посла'ли	пошлю'	пошлёшь	пошлёт	пошлём	пошлёте	пошлю'т
подойти	подойти'	approach	herantreten, kommen, sich nähern, heranrücken; passen, geeignet sein	perfective	подходить	подойди'	подойди'те	подошёл	подошла'	подошло'	подошли'	подойду'	подойдёшь	подойдёт	подойдём	подойдёте	подойду'т
рассказать	рассказа'ть	say, tell	erzählen, berichten, mitteilen	perfective	рассказывать	расскажи'	расскажи'те	рассказа'л	рассказа'ла	рассказа'ло	рассказа'ли	расскажу'	расска'жешь	расска'жет	расска'жем	расска'жете	расска'жут
встать	встать	get up, stand up, rise	aufstehen, sich erheben von -, sich stellen, ausgehen	perfective	вставать	вста'нь	вста'ньте	вста'л	вста'ла	вста'ло	вста'ли	вста'ну	вста'нешь	вста'нет	вста'нем	вста'нете	вста'нут
спрашивать	спра'шивать	ask, inquire, demand	fragen	imperfective	спросить	спра'шивай	спра'шивайте	спра'шивал	спра'шивала	спра'шивало	спра'шивали	спра'шиваю	спра'шиваешь	спра'шивает	спра'шиваем	спра'шиваете	спра'шивают
следовать	сле'довать	should, had better; follow	folgen, verfolgen; befolgen; folgen aus  (resultieren, hervorgehen aus); nachfolgen, sich reihen an; man sollte (demzufolge) ..., es wäre nötig / gebührte sich	imperfective	последовать	сле'дуй	сле'дуйте	сле'довал	сле'довала	сле'довало	сле'довали	сле'дую	сле'дуешь	сле'дует	сле'дуем	сле'дуете	сле'дуют
поставить	поста'вить	put	stellen, hinstellen, setzen; einstellen, ernennen, anstellen; aufführen, inszenieren; liefern, geben, stellen; seinen Einstand geben, einen ausgeben	perfective	поставлять;ставить;проставляться	поста'вь	поста'вьте	поста'вил	поста'вила	поста'вило	поста'вили	поста'влю	поста'вишь	поста'вит	поста'вим	поста'вите	поста'вят
бросить	бро'сить	to throw; to send urgently; to give up, to quit, to leave off; to abandon, to forsake	werfen, hinwerfen, bewerfen, zuwerfen; aufgeben, verlassen, abbrechen	perfective	бросать	бро'сь	бро'сьте	бро'сил	бро'сила	бро'сило	бро'сили	бро'шу	бро'сишь	бро'сит	бро'сим	бро'сите	бро'сят
оставить	оста'вить	leave	lassen, belassen; zurücklassen, verlassen, liegenlassen, stehenlassen, hinterlassen, überlassen; behalten, aufheben, reservieren	perfective	оставлять	оста'вь	оста'вьте	оста'вил	оста'вила	оста'вило	оста'вили	оста'влю	оста'вишь	оста'вит	оста'вим	оста'вите	оста'вят
отвечать	отвеча'ть	answer, reply, respond	antworten; verantwortlich sein, entsprechen, gerecht werden, Rechnung tragen	imperfective	ответить	отвеча'й	отвеча'йте	отвеча'л	отвеча'ла	отвеча'ло	отвеча'ли	отвеча'ю	отвеча'ешь	отвеча'ет	отвеча'ем	отвеча'ете	отвеча'ют
уходить	уходи'ть	leave, depart	weggehen, fortgehen, verlassen, gehen in (Rente, Urlaub etc.), abfahren, wegfahren; entgehen / entrinnen, entkommen	imperfective	уйти	уходи'	уходи'те	уходи'л	уходи'ла	уходи'ло	уходи'ли	ухожу'	ухо'дишь	ухо'дит	ухо'дим	ухо'дите	ухо'дят
войти	войти'	enter, go in, come in	eintreten, betreten, hereinkommen, gehen, steigen, hineingehen, hineinpassen Vertrauen erwerben	perfective	входить	войди'	войди'те	вошёл	вошла'	вошло'	вошли'	войду'	войдёшь	войдёт	войдём	войдёте	войду'т
рассказывать	расска'зывать	tell	erzählen, berichten, mitteilen	imperfective	рассказать	расска'зывай	расска'зывайте	расска'зывал	расска'зывала	расска'зывало	расска'зывали	расска'зываю	расска'зываешь	расска'зывает	расска'зываем	расска'зываете	расска'зывают
молчать	молча'ть	be silent, keep quiet	schweigen	imperfective	замолчать;помолчать;промолчать	молчи'	молчи'те	молча'л	молча'ла	молча'ло	молча'ли	молчу'	молчи'шь	молчи'т	молчи'м	молчи'те	молча'т
спать	спать	sleep	schlafen	imperfective		спи'	спи'те	спа'л	спала'	спа'ло	спа'ли	сплю'	спи'шь	спи'т	спи'м	спи'те	спя'т
являться	явля'ться	is	erscheinen, kommen, auftauchen, sich einfinden; sich erweisen, sein, darstellen	imperfective	явиться	явля'йся	явля'йтесь	явля'лся	явля'лась	явля'лось	явля'лись	явля'юсь	явля'ешься	явля'ется	явля'емся	явля'етесь	явля'ются
искать	иска'ть	look for, search, seek	suchen	imperfective	поискать	ищи'	ищи'те	иска'л	иска'ла	иска'ло	иска'ли	ищу'	и'щешь	и'щет	и'щем	и'щете	и'щут
остановиться	останови'ться	to stop; stay	anhalten, halten, stehenbleiben, stillstehen, stoppen; sich aufhalten, Station machen	perfective	останавливаться	останови'сь	останови'тесь	останови'лся	останови'лась	останови'лось	останови'лись	остановлю'сь	остано'вишься	остано'вится	остано'вимся	остано'витесь	остано'вятся
верить	ве'рить	believe, trust	glauben, vertrauen, sicher sein	imperfective	поверить	ве'рь	ве'рьте	ве'рил	ве'рила	ве'рило	ве'рили	ве'рю	ве'ришь	ве'рит	ве'рим	ве'рите	ве'рят
играть	игра'ть	play, act, perform, sparkle, toy, trifle	spielen, vorspielen, mitwirken	imperfective	сыграть	игра'й	игра'йте	игра'л	игра'ла	игра'ло	игра'ли	игра'ю	игра'ешь	игра'ет	игра'ем	игра'ете	игра'ют
становиться	станови'ться	become	werden (zu); anfangen / beginnen (sich zu entwickeln); sich (hin)stellen	imperfective	стать	станови'сь	станови'тесь	станови'лся	станови'лась	станови'лось	станови'лись	становлю'сь	стано'вишься	стано'вится	стано'вимся	стано'витесь	стано'вятся
смочь	смочь	be able, power, might	können, imstande sein, dürfen	perfective	мочь	смоги'	смоги'те	смо'г	смогла'	смогло'	смогли'	смогу'	смо'жешь	смо'жет	смо'жем	смо'жете	смо'гут
бежать	бежа'ть	run	laufen, rennen; verfliegen, verrinnen, vergehen; fliehen	imperfective	побежать	беги'	беги'те	бежа'л	бежа'ла	бежа'ло	бежа'ли	бегу'	бежи'шь	бежи'т	бежи'м	бежи'те	бегу'т
приехать	прие'хать	arrive, come	ankommen, (her)kommen	perfective	приезжать	приезжа'й	приезжа'йте	прие'хал	прие'хала	прие'хало	прие'хали	прие'ду	прие'дешь	прие'дет	прие'дем	прие'дете	прие'дут
принять	приня'ть	to take; to admit, to accept; to receive	nehmen, einnehmen, annehmen, aufnehmen, übernehmen, teilnehmen, akzeptieren, empfangen; beschließen, verabschieden	perfective	принимать	прими'	прими'те	при'нял	приняла'	при'няло	при'няли	приму'	при'мешь	при'мет	при'мем	при'мете	при'мут
открыть	откры'ть	open, clear, uncover, bare, inaugurate, discover, let out, reveal	öffnen, aufmachen, eröffnen, beginnen, entdecken	perfective	открывать	откро'й	откро'йте	откры'л	откры'ла	откры'ло	откры'ли	откро'ю	откро'ешь	откро'ет	откро'ем	откро'ете	откро'ют
происходить	происходи'ть	happen, occur, take place, be going on, go on, come, be descended, descend, be the result, spring, arise	passieren, geschehen, sich ereignen, vorkommen, vorfallen; entspringen, entstammen, hervorgehen, erwachsen	imperfective	произойти	происходи'	происходи'те	происходи'л	происходи'ла	происходи'ло	происходи'ли	происхожу'	происхо'дишь	происходи'т	происхо'дим	происходи'те	происхо'дят
ехать	е'хать	drive	fahren	imperfective	поехать	езжа'й	езжа'йте	е'хал	е'хала	е'хало	е'хали	е'ду	е'дешь	е'дет	е'дем	е'дете	е'дут
собираться	собира'ться	be going to, intend to	vor haben, beabsichtigen; sich treffen, zusammenkommen; sich versammeln	imperfective	собраться	собира'йся	собира'йтесь	собира'лся	собира'лась	собира'лось	собира'лись	собира'юсь	собира'ешься	собира'ется	собира'емся	собира'етесь	собира'ются
показаться	показа'ться	seem; show up	scheinen (den Anschein haben, anmuten), erscheinen, sich zeigen, sich sehen lassen	perfective	казаться;показываться	покажи'сь	покажи'тесь	показа'лся	показа'лась	показа'лось	показа'лись	покажу'сь	пока'жешься	пока'жется	пока'жемся	пока'жетесь	пока'жутся
попасть	попа'сть	get, got, go, went; hit	geraten, gelangen; treffen	perfective	попадать	попади'	попади'те	попа'л	попа'ла	попа'ло	попа'ли	попаду'	попадёшь	попадёт	попадём	попадёте	попаду'т
услышать	услы'шать	hear	hören, vernehmen, erfahren	perfective	слышать	услы'шь	услы'шьте	услы'шал	услы'шала	услы'шало	услы'шали	услы'шу	услы'шишь	услы'шит	услы'шим	услы'шите	услы'шат
